Number,Year,Topic,Link PDF,Link Web Page,Title,DOI,Language Page,Authors,Keywords,Summary (in Wix Paragraf row),Copy Banner,Overview/ Gambaran Umum,@
Policy Paper No. 13,2018/5,Community Livelihoods,https://cutt.ly/CIPS-PP13,,"Fighting Unrecorded Alcohol: Bandung, West Java",,English,"Hizkia Respatiadi, Sugianto Tandra","illegal acohol, Bandung, policy, policy priority","In April 2018, the Greater Bandung area had a death rate that was five times higher than the rest of the country due to drinking unrecorded alcohol consumption. From 2008 through 10 April 2018, 16.3 deaths from unrecorded alcohol per 1 million people were reported in the Greater Bandung area, compared to 3.4 deaths per 1 million people nationwide.

The Indonesian government has implemented several regulations to limit the distribution of alcohol. However Indonesia has a relatively low alcohol consumption rate and thus should not be a public policy concern. Instead the problem lies with unrecorded alcohol consumption which accounts for 80% of the national alcohol consumed. To counter the dangers of consuming unrecorded alcohol, the government should lower excise and import duties to make alcohol cheaper which would lower the consumption of unrecorded alcohol.",,,
Makalah Kebijakan No. 14,2018/5,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK14,,Di Bawah Umur dan Ilegal: Konsumsi Alkohol dan Risiko Kesehatannya Bagi Anak-anak Muda,,Indonesia,"Hizkia Respatiadi, Sugianto Tandra","alkohol ilegal, di bawah umur, risiko kesehatan, Bandung, anak muda, konsumsi alkohol","Konsumsi di bawah umur dan alkohol ilegal adalah ancaman serius bagi para pemuda di Kota Bandung. Dalam studi ini, 48% dari semua siswa yang minum alkohol melaporkan bahwa mereka mulai minum di sekolah menengah atas, 20% mulai di sekolah menengah pertama, dan 12% mulai di sekolah dasar. Di Indonesia, persoalannya bukanlah tentang volume alkohol yang dikonsumsi oleh masyarakat karena orang Indonesia minum dalam jumlah yang lebih sedikit dibandingkan penduduk di negara-negara lain. Masalahnya justru pada apa yang dikonsumsi oleh masyarakat. Ancaman paling serius adalah oplosan, jenis alkohol ilegal yang dapat mengandung bahan-bahan yang tidak layak dikonsumsi.

Untuk mengatasi masalah ini, harus ada upaya bersama yang dilakukan oleh pemerintah, pihak universitas, organisasi masyarakat sipil dan para orangtua untuk menyampaikan informasi kepada para pelajar, mahasiswa, dan pemuda pada umumnya mengenai bahaya konsumsi alkohol di bawah umur dan bahaya alkohol ilegal. Selain penegakan hukum yang lebih baik, warga setempat perlu dilibatkan dalam mencegah penjualan alkohol ilegal oleh pihak-pihak yang tidak berizin, terutama kepada para konsumen di bawah umur.",,,
Policy Paper No. 14,2018/5,Community Livelihoods,https://cutt.ly/CIPS-PP14,,Underage and Unrecorded Alcohol,,English,"Hizkia Respatiadi, Sugianto Tandra","illegal alcohol, underage, health risk, Bandung, youth, alcohol consumption","In Bandung city, 48% of all students who drank alcohol reported  that they started drinking in senior high school, 20% started in junior high school, while 12% started in primary school. In Indonesia, the issue is not about the amount of alcohol consumed in Indonesia, instead it is regarding the underage consumption of alcohol and the consumption of unrecorded alcohol. One such commonly consumed type of unrecorded alcohol is that of oplosan. Oplosan is a type of unrecorded alcohol that can contain non-food ingredients such as mosquito repellant and battery fluids.

To address the ongoing issue, there must be a joint effort by the government, educational institutions, civil society and parents to inform them about the dangers of underage and unrecorded alcohol consumption.",,,
Makalah Kebijakan No. 15,2018,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK15,,Penguatan Kebijakan Ketahanan Pangan: Reformasi Mekanisme Penyaluran Benih Jagung Hibrida,,Indonesia,"Imelda Magdalena Freddy, Gede Endy Kumara Gupta","ketahanan pangan, jagung hibrida, kebijakan, reformasi kebijakan","Dari tahun 2009 hingga 2017, Indonesia memproduksi rata-rata 18,8 juta ton jagung setiap tahunnya. Angka ini gagal memenuhi kebutuhan domestik yang rata-rata mencapai 21,3 juta ton per tahun dalam periode yang sama. Sejak impor jagung dibatasi pada beberapa tahun terakhir, harga jagung jadi meningkat banyak bila dibandingkan dengan harga internasional dan menyebabkan kenaikan harga domestik dari komoditas lainnya. 

Sejak 2015, program Upaya Khusus (UPSUS) yang dibentuk oleh pemerintah ditujukan untuk mengatasi kekurangan persediaan jagung dengan cara meningkatkan produksi jagung melalui pemberian benih hibrida secara gratis bagi para petani. Untuk meningkatkan keseluruhan efektivitas bantuan benih jagung hibrida UPSUS, pasar jagung di daerah perlu dikategorikan berdasarkan kekuatan mereka. Makalah ini mengajukan 3 perubahan kebijakan untuk program benih bantuan UPSUS agar efektivitasnya meningkat.",,,
Policy Paper No. 15,2018/7,Food Security & Agriculture,https://cutt.ly/CIPS-PP15,,Strengthening Food Security Policy: Reforms on Hybrid Maize Seeds Delivery Mechanism,,English,"Imelda Magdalena Freddy, Gede Endy Kumara Gupta","food security, hybrid maize, policy, policy reform","From 2009 to 2017, Indonesia produced an average of 18.8 million tons of maize per year. This failed to meet the domestic demand by an average of 2.4 million tons per year during the same period. Since imports have been severely restricted in recent years, domestic maize prices have become much higher than international prices and also caused domestic price increases for other food commodities. 

Since 2015, the government’s UPSUS program addresses the shortage by attempting to increase domestic maize production. Farmers are being provided with hybrid maize seeds free of charge. To improve the overall effectiveness of the UPSUS hybrid maize seed subsidies, local maize markets need to be categorized by their particular strength. This policy paper propose three policy reforms for the UPSUS seed subsidy program to improve its effectiveness.",,,
Makalah Kebijakan No. 16,2018,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK16,,Reformasi Kebijakan untuk Menurunkan Harga Gula di Indonesia,,Indonesia,"Novani Karina Saputri, Hizkia Respatiadi","kebijakan, reformasi kebijakan, harga gula","Pada paruh pertama tahun 2018, produktivitas tebu di Indonesia menurun sebesar 2,56 ton/ha sementara tingkat rendemennya menurun sebesar 0,36% dibandingkan tahun 2017. Sementara itu, permintaan gula terus meningkat, seperti yang ditunjukkan oleh peningkatan konsumsi perkapita yang lebih dari 22% dari tahun 2009 hingga 2017. Perpaduan produktivitas yang lebih rendah dan permintaan yang lebih tinggi berkontribusi terhadap harga gula kristal putih yang tinggi—harga dalam negeri hampir tiga kali lipat dari harga pasar internasional pada bulan Agustus 2018. 

Kebijakan pemerintah untuk meningkatkan produktivitas gula nasional melalui Peraturan Menteri Pertanian (Permentan) Nomor 53 Tahun 2015 dan Peraturan Menteri Perindustrian (Permenperin) Nomor 50 Tahun 2012 belum mencapai hasil yang diharapkan. Makalah kebijakan ini mengusulkan dua langkah reformasi kebijakan guna menurunkan harga gula sembari memberikan waktu yang cukup bagi para pemangku kepentingan untuk menyesuaikan diri dengan kebijakan baru.",,,
Policy Paper No. 16,2018,Food Security & Agriculture,https://cutt.ly/CIPS-PP16,,Policy Reform to Lower Sugar Prices in Indonesia,,English,"Novani Karina Saputri, Hizkia Respatiadi","policy, policy reform, sugar price","In the first half of 2018, sugarcane productivity in Indonesia decreased by 2.56 tonnes/ha while the extraction rate fell by 0.36 percentage point compared to 2017. Meanwhile, the demand for sugar is growing steadily, as indicated by an increase in per capita consumption of more than 22% from 2009 to 2017. The combination of lower productivity and higher demand contributes to high prices for white crystal sugar—the domestic price was nearly three times the international market price in August 2018.

The implementation of import quotas and limiting licenses to state-owned enterprises (SOEs), as stipulated in the regulation of the Minister of Trade (MOT) 117/2015, aggravates the situation. Restricting entry to the market through a non-transparent import licensing process contributes to Indonesia’s uncompetitive sugar market. As a result, imports cannot lower sugar prices to help the consumers in Indonesia. This policy paper propose a two-step policy reform to lower sugar prices that provides sufficient time for relevant stakeholders to adjust to the new policies.",,,
Makalah Kebijakan No. 17,2018,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK17,,Mereformasi Kebijakan Perdagangan untuk Menurunkan Harga Jagung di Indonesia,,Indonesia,"Imelda Magdalena Freddy, Hizkia Respatiadi, Gede Endy Kumara Gupta","reformasi kebijakan, kebijakan perdagangan, jagung, harga jagung","Pada paruh pertama tahun 2018, konsumsi jagung untuk pakan ternak mencapai 8,60 juta ton, lebih dari 70% dari total konsumsi jagung di Indonesia pada periode tersebut. Dari tahun 2009 hingga 2018, konsumsi jagung untuk pakan ternak meningkat sebesar 477.780 ton per tahun. Di sisi lain, produksi jagung dalam negeri hanya bertambah sebesar 294.440 ton per tahun meskipun pemerintah sudah membagikan benih jagung hibrida gratis lewat program UPSUS (Upaya Khusus). 

Keadaan ini menyebabkan tingginya harga jagung di Indonesia, yang mencapai lebih dari dua kali harga pasar internasional pada bulan Agustus 2018. Tingginya harga jagung berdampak pada produsen pakan ternak karena mereka menggunakan jagung sebagai bahan baku. Hal ini juga berdampak pada peternak yang harus mengeluarkan biaya mahal untuk memberi makan ternak mereka. Pada akhirnya, hal ini juga menyebabkan kenaikan harga telur ayam, daging ayam, dan daging sapi,

Untuk menurunkan harga jagung, makalah kebijakan ini mengusulkan dua langkah reformasi kebijakan yang juga memberikan waktu yang cukup bagi para pemangku kepentingan untuk menyesuaikan diri dengan kebijakan baru.",,,
Policy Paper No. 17,2018,Food Security & Agriculture,https://cutt.ly/CIPS-PP17,,Reforming Trade Policy to Lower Maize Prices in Indonesia,,English,"Imelda Magdalena Freddy, Hizkia Respatiadi, Gede Endy Kumara Gupta","policy reform, trade policy, maize, Indonesia, maize price","In the first half of 2018, the consumption of maize for animal feed reached 8.60 million tonnes, more than 70% of total Indonesian maize consumption in that period. From 2009 to 2018, maize consumption for animal feed grew every year by 477,780 tonnes. Despite the implementation of a free hybrid maize seeds program, known as UPSUS (Upaya Khusus / Special Effort), domestic maize production only increased by 294,440 tonnes per year. These circumstances contributed to high maize prices in Indonesia, which reached more than twice the international market price in August 2018. 

The implementation of ministerial regulations MOA 57/2015 and MOT 21/2018 has aggravated the problem as they contradict each other when specifying who is authorized to import maize and what documents are required by legal importers. Both regulations impose long procedure for obtaining import license, which can take up to 53 working days to complete. As the result, imports are unable to lower maize prices in Indonesia. This policy paper propose a two-stage policy reform to lower maize prices that also provides sufficient time for relevant stakeholders to adjust to the new policies.",,,
Makalah Kebijakan No. 18,2018,Kesempatan Ekonomi,https://cutt.ly/CIPS-MK18,,Peningkatan Kinerja Indonesia dalam Indeks Kemudahan Berusaha - Reformasi Kebijakan untuk Meningkatkan Indikator 'Memulai Usaha',,Indonesia,"Imelda Magdalena Freddy, Novani Karina Saputri","reformasi kebijakan, usaha, memulai usaha, eodb","Presiden Joko Widodo menetapkan target untuk meningkatkan peringkat Indonesia dalam indeks Kemudahan Usaha (Ease of Doing Business/EoDB) Bank Dunia dari peringkat ke-72 menjadi ke-40 pada tahun 2019. Satu kendala untuk mencapai target ini adalah ranking Indonesia dalam Indikator Memulai Usaha, dimana saat ini Indonesia berada pada peringkat ke-144 dari 190 negara. Berdasarkan Laporan EoDB 2018, diperlukan 23 hari dan 11 prosedur untuk mendaftarkan sebuah bisnis di Indonesia.

Studi kasus di Jakarta, Bandung, dan Bandar Lampung menunjukan bahwa ada satu peraturan daerah dan satu peraturan pusat yang harus direvisi untuk mempercepat registrasi usaha di Indonesia. Pemerintah perlu menghapus sebuah prosedur dari proses registrasi usaha dan mengembangkan kerja sama dengan sektor swasta lokal dan asosiasi pengusaha untuk meningkatkan OSS. Untuk itu, makalah kebijakan ini menawarkan 4 rekomendasi untuk adanya perubahan kebijakan.",,,
